title,director,cast,country,date_added,release_year,rating,listed_in,description,duration_in_minutes
"Chauthi Koot","Gurvinder Singh","Suvinder Vikky, Rajbir Kaur, Gurpreet Kaur Bhangu, Taranjit Singh, Harleen Kaur, Kanwaljeet Singh, Harnek Aulakh, Tejpal Singh, Gulshan Saggi","India, France","2017-02-01 00:00:00",2015,TV-14,"Dramas, Independent Movies, International Movies","Related tales of a family seeking refuge and two men on a train to Amritsar evoke the dreadful unease surrounding Hindu-Sikh tensions in 1980s Punjab.",116
Chef,"Jon Favreau","Jon Favreau, Sofía Vergara, John Leguizamo, Scarlett Johansson, Dustin Hoffman, Oliver Platt, Bobby Cannavale, Amy Sedaris, Robert Downey Jr., Emjay Anthony, Russell Peters","United States","2020-12-01 00:00:00",2014,R,"Comedies, Independent Movies","After igniting a Twitter war with a well-known culinary critic, a Los Angeles chef packs his knives, heads home to Miami and opens a food truck.",115
"Chelsea Handler: Uganda Be Kidding Me Live","James Yukich","Chelsea Handler","United States","2014-10-10 00:00:00",2014,TV-MA,"Stand-Up Comedy","In her first Netflix stand-up comedy special, Chelsea Handler recounts her African adventures (and provides hilarious photographic evidence).",71
"Chelsea Peretti: One of the Greats","Lance Bangs","Chelsea Peretti","United States","2014-11-14 00:00:00",2014,TV-MA,"Stand-Up Comedy",""Brooklyn Nine-Nine" star Chelsea Peretti showcases her diverse talents in this dark yet silly reimagining of the comedy special.",75
"Chennai Express","Rohit Shetty","Shah Rukh Khan, Deepika Padukone, Nikitin Dheer, Satyaraj, Kamini Kaushal, Lekh Tandon, Mukesh Tiwari",India,"2018-08-31 00:00:00",2013,TV-14,"Action & Adventure, Comedies, International Movies","What could have been a sad journey turns joyful for Rahul when he falls in love with a woman en route to submerging his grandfather's ashes.",135
"Chernobyl Diaries","Bradley Parker","Ingrid Bolsø Berdal, Dimitri Diatchenko, Olivia Taylor Dudley, Devin Kelley, Jesse McCartney, Nathan Phillips, Jonathan Sadowski, Alex Feldman, Kristof Konrad, Pasha D. Lychnikoff","United States","2018-08-01 00:00:00",2012,R,"Horror Movies, Thrillers","A group of kids takes an illegal tour through an abandoned city near Chernobyl, where mysterious humanoid forms begin to haunt their steps...",88
"Chhota Bheem and the Curse of Damyaan","Rajiv Chilaka","Kaustav Ghosh, Jigna Bhardwaj, Chutki, Rajesh Kava, Mausam, Guru Shambu, Arun Shekar, Julie Tejwani, Anamaya Verma",India,"2020-04-01 00:00:00",2012,TV-Y7,"Children & Family Movies","An evil demon who traded his freedom for immortality lures Chhota Bheem and his friends to the city of Sonapur with tales of hidden treasure.",87
"Chhota Bheem Aur Kaala Yodha","Sidheswar Shukla, Asit Mohapatra","Julie Tejwani, SABINA MALIK, Jigna Bharadhwaj, Rupa Bhimani, Lalit Agarwal, Rajesh Shukla, Disha, Rajesh Kawa, Raju",NULL,"2019-05-10 00:00:00",2018,TV-Y7,Movies,"Finally released after being trapped in an ancient book for centuries, a wicked warrior sets out to conquer Dholakpur – but not if Bheem can help it!",63
"Chhota Bheem Ka Romani Adventure","Asit Mohapatra, Shyamal Chaulia","Julie Tejwani, SABINA MALIK, Jigna Bharadhwaj, Rupa Bhimani, Lalit Agarwal, Rajesh Shukla, Disha, Rajesh Kawa, Raju",NULL,"2019-05-10 00:00:00",2018,TV-Y7,"Children & Family Movies","Bheem and King Indraverma travel to Rome for a trading venture, but when the king of a neighboring land attacks, can Bheem’s wile and wit save the day?",62
"Chhota Bheem Ka Troll Se Takkar","Shyamal Chaulia, Asit Mohapatra","Julie Tejwani, SABINA MALIK, Jigna Bharadhwaj, Rupa Bhimani, Lalit Agarwal, Rajesh Shukla, Disha, Rajesh Kawa, Raju",NULL,"2019-05-10 00:00:00",2018,TV-Y7,Movies,"Trolls kidnap the king's daughters and overtake the kingdom of Messina. Can Bheem track them down and bring the princesses home?",62
"Chhota Bheem Kungfu Dhamaka","Rajiv Chilaka, Binayak Das","Sonal Kaushal, Rupa Bhimani, Jigna Bharadhwaj, Sabina Malik, Julie Tejwani, Rajesh Kava, Vaibhav Thakkar, Samriddhi Shuklaa, Aditya Raj Sharma, Vinod Kulkarni",India,"2019-08-15 00:00:00",2019,TV-Y7,"Children & Family Movies","Chhota Bheem is in China for a martial arts competition but his real challenge: to save the emperor’s daughter from being kidnapped by the villain Zuhu!",112
"Chicken Kokkachi","Anuranjan Premji","Anuranjan Premji, Indrans, Dharmajan Bolgatty, Sudhi Koppa, Bijukuttan, Neha Rathanakaran, Prasanth",India,"2018-07-01 00:00:00",2017,TV-14,"Comedies, International Movies","In the wake of his sister's marriage, a young middle-class man leaves his village and learns that supporting one's self is easier said than done.",113
"Chicken Little","Mark Dindal","Zach Braff, Joan Cusack, Patrick Stewart, Steve Zahn, Catherine O'Hara, Harry Shearer, Adam West, Don Knotts, Amy Sedaris, Garry Marshall, Patrick Warburton, Fred Willard, Wallace Shawn","United States","2016-03-16 00:00:00",2005,G,"Children & Family Movies, Comedies","No one believes Chicken Little when he tries to warn of an alien invasion – so it's up to him and his misfit friends to save the world!",82
"Chico Bon Bon and the Very Berry Holiday","Darragh O'Connell","Robbie Daymond, Dayci Brookshire, Anthony Tedesco, Andy Abbott, Emma Sloan Jacobs, Joanna Lewis, Matt Mercer, Ian Nikus",NULL,"2020-12-03 00:00:00",2020,TV-Y,"Children & Family Movies","The Fix-It Force makes a plan to hit every home as fast as they can, delivering Blunderberry Cakes before the town awakes to avoid a holiday disaster.",25
"Chief Daddy","Niyi Akinmolayan","Taiwo Obileye, Joke Silva, Falz The Bahd Guy, Dakore Akande, Funke Akindele, Zainab Balogun, Shaffy Bello, Ini Edo, Linda Ihuoma-Suleiman, Mawuli Gavor, Richard Mofe-Damijo, Rachael Oniga, Nkem Owoh, Patience Ozokwor",Nigeria,"2019-03-15 00:00:00",2018,TV-MA,"Comedies, Dramas, International Movies","When a wealthy patriarch unexpectedly drops dead, his money-crazed family, friends and staff scramble for his billionaire fortune.",98
"Child's Play","Tom Holland","Catherine Hicks, Alex Vincent, Brad Dourif, Chris Sarandon, Dinah Manoff, Tommy Swerdlow, Jack Colvin, Neil Giuntoli, Juan Ramírez, Alan Wilder","United States","2019-12-31 00:00:00",1988,R,"Cult Movies, Horror Movies","When a rash of murders unfolds, 6-year-old Andy knows that his toy doll Chucky is the killer, but neither his mom nor the cops believe him.",87
"Children of God","John Smithson",NULL,"United Kingdom","2016-08-01 00:00:00",1994,TV-MA,Documentaries,"A former member examines the lingering effects of being raised in the Family, a cult whose disturbing practices include the sexual abuse of children.",63
"Children of the Sea","Ayumu Watanabe","Mana Ashida, Hiiro Ishibashi, Seishu Uragami, Win Morisaki, Goro Inagaki, Yu Aoi, Toru Watanabe, Min Tanaka, Sumiko Fuji",Japan,"2020-09-01 00:00:00",2019,TV-PG,"Anime Features","Ruka spends her summer at the aquarium, where she’s drawn into an enigmatic aquatic event alongside two mysterious boys raised in the ocean.",112
"Chillar Party","Vikas Bahl, Nitesh Tiwari","Irfan Khan, Raju, Sanath Menon, Rohan Grover, Naman Jain, Aarav Khanna, Vishesh Tiwari, Chinmai Chandranshuh, Vedant Desai, Shriya Sharma, Divji Handa",India,"2018-08-02 00:00:00",2011,TV-PG,"Children & Family Movies, Comedies, Dramas","Eight feisty boys befriend young drifter Fatka. When a mean politician threatens Fatka's way of life, the boys band together in honor of their pal.",127
"China Salesman","Tan Bing","Li Dong Xue, Mike Tyson, Steven Seagal, Janicke Askevold, Li Ai, Eriq Ebouaney, Clovis Fouin, Wang Zijian",China,"2018-09-24 00:00:00",2017,TV-MA,"Action & Adventure, International Movies","A Chinese engineer travels to a war-torn African country to rebuild its telecommunications but instead finds massive corruption and explosive danger.",111
"Chingo Bling: They Can't Deport Us All","Luis Lopez","Chingo Bling",NULL,"2017-06-01 00:00:00",2017,TV-MA,"Stand-Up Comedy","On point and larger than life, rapper and stand-up comic Chingo Bling gathers his funniest friends for a rambunctious take on Tex-Mex culture.",63
Chippa,"Safdar Rahman","Sunny Pawar, Chandan Roy Sanyal, Gautam Sarkar, Sumeet Thakur, Mala Mukherjee, Masood Akhtar, Veer Rajwant Singh, Joyraj Bhattacharya",India,"2020-06-01 00:00:00",2020,TV-14,"Comedies, Dramas, Independent Movies","At midnight on his 10th birthday, a boy scours the lesser-known Kolkata streets in search of a father he’s never met, carrying a letter he can’t read.",92
Chittagong,"Bedabrata Pain","Manoj Bajpayee, Barry John, Delzad Hiwale, Vega Tamotia, Nawazuddin Siddiqui, Rajkummar Rao, Jaideep Ahlawat, Vijay Varma, Dibyendu Bhattacharya","United States, India, Bangladesh","2018-01-01 00:00:00",2012,NR,"Dramas, Independent Movies, International Movies","In the turbulent 1930s of British colonial India, a teenager joins a ragtag army of schoolboys determined to overthrow their foreign conquerors.",105
"Chitty Chitty Bang Bang","Ken Hughes","Dick Van Dyke, Sally Ann Howes, Lionel Jeffries, Gert Fröbe, Anna Quayle, Benny Hill, James Robertson Justice, Robert Helpmann, Heather Ripley, Adrian Hall, Barbara Windsor, Davy Kaye, Alexander Doré, Bernard Spear, Stanley Unwin","United Kingdom, United States","2020-01-01 00:00:00",1968,G,"Children & Family Movies, Classic Movies, Comedies","Quirky inventor Caractacus Potts and his family travel in their magical flying car to Vulgaria, a kingdom strangely devoid of children.",146
Chloe,"Atom Egoyan","Julianne Moore, Liam Neeson, Amanda Seyfried, Max Thieriot, R.H. Thomson, Nina Dobrev, Laura de Carteret, Mishu Vellani","United States, Canada, France","2020-01-01 00:00:00",2009,R,"Independent Movies, Thrillers","Suspecting her husband of infidelity, Catherine hires sexy Chloe to test his faithfulness. Soon, the relationships between all three intensify.",96
"Chocolate City: Vegas Strip","Jean-Claude La Marre","Robert Ri'chard, Darrin Dewitt Henson, Ginuwine, Gilbert Saldivar, Keith Carlos, Michael Bolwaire, Willie Taylor, Michael Jai White, Vivica A. Fox, Mekhi Phifer","United States","2017-08-12 00:00:00",2017,TV-MA,Dramas,"The exotic dancers from Chocolate City get back together for a trip to Las Vegas and a chance at $500,000 in prize money.",90
"Choked: Paisa Bolta Hai","Anurag Kashyap","Saiyami Kher, Roshan Mathew, Amruta Subhash, Upendra Limaye, Tushar Dalvi, Rajshri Deshpande, Vaisnavi RP, Uday Nene, Parthveer Shukla, Sanjay Bhatia, Aditya Kumar, Milind Pathak",India,"2020-06-05 00:00:00",2020,TV-14,"Dramas, International Movies","A bank employee weighed down by her jobless husband's debts — and her own broken dreams — finds a secret source of seemingly unlimited cash in her home.",114
Chopsticks,"Sachin Yardi","Abhay Deol, Mithila Palkar, Vijay Raaz",India,"2019-05-31 00:00:00",2019,TV-MA,"Comedies, Dramas, Independent Movies","A gifted but insecure woman embarks on a transformative journey when she enlists an enigmatic con man to recover her stolen car from an eccentric thug.",101
"Chris Brown: Welcome to My Life","Andrew Sandler","Chris Brown","United States","2017-10-07 00:00:00",2017,TV-MA,"Documentaries, Music & Musicals","Featuring interviews, concert footage and behind-the-scenes access, this documentary delivers fans an all-access look at the life of Chris Brown.",80
"Chris D'Elia: Incorrigible","Bill D'Elia","Chris D'Elia","United States","2015-04-17 00:00:00",2015,TV-MA,"Stand-Up Comedy","Stand-up comedian Chris D'Elia covers everything from how to improve the NFL to why dating is evil and that babies should grow up before they're born.",84
"Chris D'Elia: Man on Fire","Bill D'Elia","Chris D'Elia","United States","2017-06-27 00:00:00",2017,TV-MA,"Stand-Up Comedy","Unbridled comic Chris D'Elia reconsiders his approach to major life events like marriage, not having kids and buying pants for your friends.",66
"Chris D'Elia: No Pain","Matt D'Elia","Chris D'Elia","United States","2020-04-14 00:00:00",2020,TV-MA,"Stand-Up Comedy","Chris D'Elia takes the stage in Minneapolis to offer his thoughts on everything from self-censorship to problematic dolphins to lame mutant powers.",55
"Chris Rock Total Blackout: The Tamborine Extended Cut","Chris Rock","Chris Rock",NULL,"2021-01-12 00:00:00",2021,TV-MA,"Stand-Up Comedy","In this extended cut of his 2018 special, Chris Rock takes the stage for a special filled with searing observations on fatherhood, infidelity and politics.",98
"Chris Rock: Tamborine","Bo Burnham","Chris Rock","United States","2018-02-14 00:00:00",2018,TV-MA,"Stand-Up Comedy","Chris Rock takes the stage in Brooklyn for a comedy special filled with searing observations on fatherhood, infidelity and American politics.",65
"Chris Tucker Live","Phil Joanou","Chris Tucker","United States","2015-07-10 00:00:00",2015,TV-MA,"Stand-Up Comedy","Filmed in his hometown of Atlanta, Chris Tucker showcases his stand-up comedic chops as he shares his experiences from childhood to the big time.",92
"Christian Mingle","Corbin Bernsen","Lacey Chabert, Jonathan Patrick Moore, Saidah Arrika Ekulona, Stephen Tobolowsky, John O'Hurley, David Keith, Morgan Fairchild, Corbin Bernsen","United States","2019-06-06 00:00:00",2014,PG,"Comedies, Faith & Spirituality, Romantic Movies","A career woman who has everything but romance finds her values challenged when she starts dating a good man she met on a Christian matchmaking site.",99
"Christina P: Mother Inferior","Jay Karas","Christina Pazsitzky","United States","2017-10-10 00:00:00",2017,TV-MA,"Stand-Up Comedy","Christina Pazsitzky hits Seattle with a biting dose of reality, telling truths about her childhood, getting older and the horrors of giving birth.",59
Christine,"Antonio Campos","Rebecca Hall, Michael C. Hall, Tracy Letts, Maria Dizzia, J. Smith-Cameron, Timothy Simons, Kim Shaw, John Cullum, Morgan Spector, Jayson Warner Smith","United Kingdom, United States","2020-08-13 00:00:00",2016,R,"Dramas, Independent Movies","In a film based on true events, an awkward but ambitious TV reporter struggles to adapt when she's ordered to focus on violent and salacious stories.",119
"Christmas Break-In","Michael Kampa","Danny Glover, Denise Richards, Cameron Seely, Sean O'Bryan, Katrina Begin, Jake Van Wagoner, Douglas Spain, Dawson Ehlke","United States","2020-11-01 00:00:00",2019,TV-PG,"Children & Family Movies, Comedies","Stranded at school before holiday break, a precocious girl gets into the spirit of saving when a trio of robbers trespass and hold the janitor hostage.",87
"Christmas Crossfire","Detlev Buck","Kostja Ullmann, Alli Neumann, Sascha Alexander Gersak, Sophia Thomalla, Merlin Rose, Detlev Buck, Peter Kurth, Anika Mauer, Frederic Linkemann, Bernd Hölscher",Germany,"2020-12-04 00:00:00",2020,TV-MA,"Comedies, International Movies, Thrillers","A man foils an attempted murder, then flees the crew of would-be killers along with their intended target as a woman he's just met tries to find him.",106
"Christmas Crush","Marita Grabiak","Rachel Boston, Jonathan Bennett, Jon Prescott, Sunny Mabrey, Julia Voth, Elizabeth Lauren Hoffman, Eileen April Boylan, Josh Crotty","Canada, United States","2019-11-04 00:00:00",2012,TV-PG,"Comedies, Romantic Movies","Twentysomething Georgia pines for her old boyfriend and is thrilled to have a second chance at love when she attends their high school reunion.",87
